address_key,Address,latitude,longitude,formatted_address,geocode_status
5229 lower kula rd,5229 Lower Kula Rd,20.749736503116,-156.326068014058,"5229 Lower Kula Rd, Kula, Hawaii, 96790",success
1401 naalae rd,1401 Naalae Rd,20.75877299102,-156.347582012577,"1401 Naalae Rd, Kula, Hawaii, 96790",success
64 kulamanu circle,64 Kulamanu Circle,20.781848831466,-156.317845031767,"64 Kulamanu Cir, Kula, Hawaii, 96790",success
344 lower kimo dr,344 Lower Kimo Dr,20.784254982501,-156.321036860496,"344 Lower Kimo Dr, Kula, Hawaii, 96790",success
220 kekaulike ave,220 Kekaulike Ave,20.739576001996,-156.329754961808,"220 Kekaulike Ave, Kula, Hawaii, 96790",success
22 puakea pl,22 Puakea Pl,20.757567547614,-156.326836718399,"22 Puakea Pl, Kula, Hawaii, 96790",success
33 wahelani st,33 Wahelani St,20.747675225487,-156.309893958415,"33 Wahelani St, Kula, Hawaii, 96790",success
82 wahelani st,82 Wahelani St,20.746286763226,-156.309069514419,"82 Wahelani St, Kula, Hawaii, 96790",success
40 ululani st,40 Ululani St,20.746209859264,-156.307201104382,"40 Ululani St, Kula, Hawaii, 96790",success
787 lower kimo dr,787 Lower Kimo Dr,20.78504895828,-156.315867740808,"787 Lower Kimo Dr, Kula, Hawaii, 96790",success
63 homestead rd,63 Homestead Rd,20.744292918008,-156.303460260994,"63 Homestead Rd, Kula, Hawaii, 96790",success
