Address,Parcel ID,Acres,Green Waste Pickup,Kupuna Pickup,Property Cleanup,Debris Removal,Wood Chipping,Wood Chip Delivery,Event,Fencing Support,Infrastucture / Drainage,Recycling Pickup,latitude,longitude,formatted_address,geocode_status
500 Pulehuiki Rd,,3.58,,,x,,,,,,,,20.770190945254,-156.318285919874,"500 Pulehuiki Rd, Kula, Hawaii, 96790",success
17003 Haleakala Hwy,,1.95,,,x,,x,,,,,,20.767974979602,-156.300094172498,"17003 Haleakala Hwy, Kula, Hawaii, 96790",success
482 Waiakoa Rd,,2.06,,x,,,,,,,,,20.741561800587,-156.312206860777,"482 Waiakoa Rd, Kula, Hawaii, 96790",success
18100 Piilani Hwy,,8.0,,,x,,,,,,x,,20.616201092776,-156.368066378109,"18100 Piilani Hwy, Kula, Hawaii, 96790",success
765 Kekaulike Ave,,3.98,,,x,,x,x,,,,,20.745293256242,-156.325115829858,"765 Kekaulike Ave, Kula, Hawaii, 96790",success
7721 Kula Hwy,,1.28,,,x,,x,x,,,,,20.721591329538,-156.341945601786,"7721 Kula Hwy, Kula, Hawaii, 96790",success
1002 Keanuhea St,,2.0,,,,,,x,,,,,20.708482996891,-156.362386968156,"1002 Keanuhea St, Kula, Hawaii, 96790",success
16940 Haleakala Hwy,,1.34,,,,,,x,,,,,20.767227523386,-156.299440048774,"16940 Haleakala Hwy, Kula, Hawaii, 96790",success
255 Lower Kimo Dr,,0.41,,,,,,x,,,,,20.786153944575,-156.321890557335,"255 Lower Kimo Dr, Kula, Hawaii, 96790",success
300 Kolohala Dr,,0.5,,,,,,x,,,,,20.754727968366,-156.314684048442,"300 Kolohala Dr, Kula, Hawaii, 96790",success
552 Lauie Dr,,0.98,,,,,,x,,,,,20.72921865188,-156.352971408681,"552 Lauie Dr, Kula, Hawaii, 96790",success
247 Kamehameiki Rd,,2.93,,,,,,x,,,,,20.771488338137,-156.323472641559,"247 Kamehameiki Rd, Kula, Hawaii, 96790",success
29 Holomakani Dr,,0.67,,,,,,x,,,,,20.753890071415,-156.322923962177,"29 Holomakani Dr, Kula, Hawaii, 96790",success
500 Kolohala Dr,,0.5,,,,,,x,,,,,20.756069240512,-156.316981192826,"500 Kolohala Dr, Kula, Hawaii, 96790",success
518 Kolohala Dr,,0.5,,,x,x,x,,,,,,20.756247691231,-156.317238936348,"518 Kolohala Dr, Kula, Hawaii, 96790",success
506 Kolohala Dr,,0.5,,,x,x,x,,,,,,20.756213032061,-156.317206079288,"506 Kolohala Dr, Kula, Hawaii, 96790",success
22 Puakea Pl,,0.26,,,,,,x,,,,,20.757567547614,-156.326836718399,"22 Puakea Pl, Kula, Hawaii, 96790",success
1000 Middle Rd,,2.37,,,x,,x,,,,,,20.711650811467,-156.342288421626,"1000 Middle Rd, Kula, Hawaii, 96790",success
17085 Haleakala Hwy,,4.32,,,x,,x,,,,,,20.768935922891,-156.299193872278,"17085 Haleakala Hwy, Kula, Hawaii, 96790",success
5229 Lower Kula Rd,,5.18,,,x,,x,,,,,,20.749736503116,-156.326068014058,"5229 Lower Kula Rd, Kula, Hawaii, 96790",success
33 Wahelani St,,2.19,,,,,,x,,,,,20.747675225487,-156.309893958415,"33 Wahelani St, Kula, Hawaii, 96790",success
82 Wahelani St,,2.01,,,x,,x,,,,,,20.746286763226,-156.309069514419,"82 Wahelani St, Kula, Hawaii, 96790",success
40 Ululani St,,2.01,,,,,,x,,,,,20.746209859264,-156.307201104382,"40 Ululani St, Kula, Hawaii, 96790",success
787 Lower Kimo Dr,,2.63,,,,,,x,,,,,20.78504895828,-156.315867740808,"787 Lower Kimo Dr, Kula, Hawaii, 96790",success
63 Homestead Rd,,4.16,,,,,,,,,,,20.744292918008,-156.303460260994,"63 Homestead Rd, Kula, Hawaii, 96790",success
1453 Kamehameiki Rd,,9.42,,,x,x,,x,,,x,,20.761811137554,-156.309408227126,"1453 Kamehameiki Rd, Kula, Hawaii, 96790",success
